name;club;games_played;games_started;mins;goals_against;aerial_duels;areial_duel_perc;clearances;fouls;interception
nick-lima;SJ;34;34;3049;71;88;53.4;99;20;64
michael-boxall;MIN;32;32;2880;66;89;53.9;117;25;55
david-bingham;LA;34;34;3060;64;9;77.8;25;0;1
vako;SJ;33;31;2718;64;18;44.4;2;14;16
ashley-cole;LA;31;30;2687;63;39;30.8;46;28;48
tommy-smith;COL;33;33;2969;63;136;62.5;123;34;44
magnus-eriksson;SJ;32;29;2494;62;78;38.5;21;37;23
miguel-ibarra;MIN;33;31;2715;61;92;23.9;21;28;31
florian-jungwirth;SJ;31;27;2400;61;106;57.5;82;28;58
sacha-kljestan;ORL;30;29;2522;60;49;51;19;18;8
andrew-tarbell;SJ;29;29;2610;60;23;87;38;1;3
ola-kamara;LA;31;30;2689;59;190;43.2;11;26;9
joe-bendik;ORL;25;24;2218;58;9;100;19;0;2
tim-howard;COL;33;33;2900;58;6;100;12;1;2
jorgen-skjelvik;LA;32;29;2585;58;74;59.5;101;46;43
michael-bradley;TOR;32;32;2857;57;26;42.3;46;26;39
nick-rimando;RSL;33;33;2925;57;8;100;23;0;2
justen-glad;RSL;33;33;2910;56;131;58;130;35;92
brandon-vincent;CHI;32;31;2827;56;96;56.3;107;51;46
danny-hoesen;SJ;34;29;2488;55;113;33.6;8;24;5
damir-kreilach;RSL;33;31;2784;55;212;54.3;32;39;17
darwin-quintero;MIN;27;27;2396;55;46;39.1;1;25;9
rasmus-schuller;MIN;31;29;2547;55;68;50;24;65;76
perry-kitchen;LA;31;27;2339;54;66;60.6;38;48;33
jack-price;COL;31;31;2750;54;20;40;32;30;63
jefferson-savarino;RSL;32;32;2853;54;24;16.7;6;30;17
evan-bush;MTL;34;34;3060;53;17;76.5;30;1;3
dom-dwyer;ORL;26;25;2244;53;114;39.5;8;43;2
johan-kappelhof;CHI;29;29;2604;53;75;53.3;119;39;64
brooks-lennon;RSL;33;32;2850;53;67;56.7;63;25;43
felipe-martins;VAN;29;24;2202;53;30;40;32;29;32
samuel-piette;MTL;34;34;3000;53;48;60.4;39;41;77
albert-rusnak;RSL;31;29;2592;53;20;15;8;19;7
anibal-godoy;SJ;27;27;2348;52;47;66;24;61;58
bastian-schweinsteiger;CHI;31;30;2726;52;82;56.1;64;29;29
francisco-calvo;MIN;26;26;2339;51;106;54.7;119;40;52
edgar-castillo;COL;28;28;2440;51;35;34.3;33;26;51
brent-kallman;MIN;24;22;1953;51;88;53.4;105;15;41
aleksandar-katai;CHI;33;27;2428;51;48;27.1;8;39;10
mauro-manotas;HOU;33;30;2633;51;85;18.8;27;24;2
jonathan-osorio;TOR;30;30;2603;51;38;31.6;15;22;28
bobby-shuttleworth;MIN;25;25;2250;51;7;100;24;0;0
kyle-beckerman;RSL;31;29;2621;50;44;47.7;65;50;48
steven-birnbaum;DC;34;34;3060;50;215;77.2;211;33;46
andre-blake;PHI;33;33;2970;50;13;100;19;1;5
tyler-miller;LAFC;33;33;2970;50;22;95.5;35;1;5
auston-trusty;PHI;34;34;3060;50;132;58.3;137;41;65
jalil-anibaba;NE;31;29;2706;49;140;55;106;30;57
alphonso-davies;VAN;31;27;2420;49;52;38.5;35;31;32
mohamed-el-munir;ORL;26;23;2089;49;73;53.4;42;34;70
andrew-farrell;NE;31;30;2701;49;90;53.3;100;10;40
benny-feilhaber;LAFC;34;32;2804;49;29;65.5;21;45;34
chris-mueller;ORL;32;23;2056;49;58;29.3;8;17;10
jake-nerwinski;VAN;26;24;2212;49;67;56.7;71;24;43
nemanja-nikolic;CHI;31;29;2443;49;69;18.8;7;9;9
chris-wondolowski;SJ;34;23;2289;49;127;38.6;24;27;4
ibson;MIN;27;23;2099;48;30;66.7;32;23;31
luis-alberto-caicedo;NE;30;29;2590;48;91;50.5;57;71;38
diego-fagundez;NE;33;30;2666;48;34;23.5;4;28;18
sebastian-giovinco;TOR;28;26;2384;48;6;0;1;33;6
daniel-lovitz;MTL;31;29;2650;48;78;55.1;65;27;55
cristian-penilla;NE;33;33;2816;48;35;14.3;3;39;11
dave-romney;LA;28;26;2354;48;124;58.1;105;13;48
kei-kamara;VAN;28;24;2166;47;225;62.2;26;39;3
richard-sanchez;CHI;25;24;2207;47;8;100;28;2;3
