name;club;games_played;games_started;mins;goals_against;aerial_duels;areial_duel_perc;clearances;fouls;interception
mario-de-luna;CHV;30;30;2637;58;88;59.1;175;29;79
dan-kennedy;CHV;31;31;2754;54;19;94.7;44;2;2
jalil-anibaba;CHI;34;34;3060;52;106;49.1;156;15;61
austin-berry;CHI;34;34;3060;52;178;56.2;267;17;129
perry-kitchen;DC;31;31;2773;51;92;55.4;79;43;62
chris-korb;DC;30;30;2700;50;30;23.3;89;24;65
matt-hedges;DAL;33;32;2793;49;139;65.5;314;19;112
edgar-mejia;CHV;28;27;2266;49;24;50;21;16;40
troy-perkins;MTL;33;33;2970;48;21;95.2;38;1;3
matteo-ferrari;MTL;31;31;2790;47;88;64.8;191;26;111
joe-bendik;TOR;33;33;2969;46;10;90;38;0;2
gonzalo-segares;CHI;32;32;2855;46;58;34.5;84;43;91
hassoun-camara;MTL;32;32;2874;45;99;65.7;150;35;83
eric-avila;CHV;28;24;2183;44;24;20.8;11;25;36
carlos-borja;CHV;26;22;2009;44;50;50;68;35;49
jeff-larentowicz;CHI;32;31;2807;44;118;61.9;56;47;64
zac-macmath;PHI;34;34;3060;44;11;81.8;44;0;1
carlos-alvarez;CHV;29;26;2182;43;65;32.3;17;24;20
patrice-bernier;MTL;31;28;2474;43;45;64.4;39;50;69
jeb-brovsky;MTL;30;29;2610;43;67;47.8;129;21;84
amobi-okugo;PHI;32;32;2879;43;101;67.3;222;36;107
sheanon-williams;PHI;32;32;2867;43;66;62.1;84;42;68
brian-carroll;PHI;33;33;2969;42;56;30.4;47;40;90
sam-cronin;SJ;34;34;2971;42;112;49.1;78;48;92
lee-young-pyo;VAN;32;30;2747;42;48;33.3;102;24;82
jon-busch;SJ;33;33;2970;41;9;88.9;33;0;2
fabian-castillo;DAL;33;26;2176;41;37;37.8;4;30;12
marco-di-vaio;MTL;33;31;2746;41;46;30.4;5;14;6
raul-fernandez;DAL;26;26;2340;41;12;83.3;25;0;3
tally-hall;HOU;34;34;3060;41;14;92.9;33;1;1
luis-robles;RBNY;34;34;3060;41;17;94.1;50;1;1
daniel-woolard;DC;27;27;2235;41;71;45.1;152;20;72
michel-garbini-pereira;DAL;31;26;2284;40;41;53.7;60;30;72
patrick-nyarko;CHI;30;24;2153;40;84;40.5;13;33;57
nigel-reo-coker;VAN;32;31;2817;40;33;39.4;23;62;46
kofi-sarkodie;HOU;33;33;2948;40;53;54.7;87;38;54
jackson-goncalves;DAL;30;29;2375;39;20;20;16;57;37
ned-grabavoy;RSL;32;29;2688;39;68;39.7;47;37;48
bill-hamid;DC;25;25;2250;39;8;100;29;2;1
sean-johnson;CHI;28;28;2520;39;5;100;41;2;2
jeff-parke;PHI;31;31;2745;39;134;65.7;241;23;104
deandre-yedlin;SEA;31;30;2710;39;80;58.8;92;35;107
jair-benitez;DAL;31;28;2473;38;22;22.7;63;17;62
raymon-gaddis;PHI;31;31;2703;38;39;23.1;83;25;82
jose-goncalves;NE;34;34;3060;38;120;71.7;229;32;98
federico-higuain;CLB;29;29;2592;38;26;30.8;3;20;5
chad-marshall;CLB;30;30;2638;38;140;78.6;298;22;104
